Descrição;Empenhado;Liquidado;Pago;Agrupador
"                31901148 - 13º Salário - RGPS";197.608,56;197.608,56;197.608,56;CDSUBELEMENTODESPESA
"                31901147 - 13º Salário - RPPS";8.641.664,83;8.633.012,72;8.633.012,72;CDSUBELEMENTODESPESA
"                31901107 - ABONO PERMANÊNCIA - RPPS";2.737.008,73;1.382.758,91;1.382.758,91;CDSUBELEMENTODESPESA
"                31901112 - ADICIONAL DE INSALUBRIDADE - RGPS";6.939,20;2.424,00;2.424,00;CDSUBELEMENTODESPESA
"                31901111 - ADICIONAL DE INSALUBRIDADE - RPPS";41.487.427,59;20.223.890,07;20.223.890,07;CDSUBELEMENTODESPESA
"                31901110 - ADICIONAL DE PERICULOSIDADE - RGPS";8.938,35;3.526,02;3.526,02;CDSUBELEMENTODESPESA
"                31901109 - ADICIONAL DE PERICULOSIDADE - RPPS ";31.608,78;14.009,58;14.009,58;CDSUBELEMENTODESPESA
"                31901126 - COMPLEMENTAÇÃO SALARIAL - RGPS";3.814,30;814,30;814,30;CDSUBELEMENTODESPESA
"                31901125 - COMPLEMENTAÇÃO SALARIAL - RPPS";3.340.359,02;1.050.422,50;1.050.422,50;CDSUBELEMENTODESPESA
"                31901145 - FÉRIAS - ABONO CONSTITUCIONAL - RGPS";235.754,64;235.754,64;235.754,64;CDSUBELEMENTODESPESA
"                31901141 - FÉRIAS - ABONO CONSTITUCIONAL - RPPS";31.158.928,59;31.154.701,61;31.154.701,61;CDSUBELEMENTODESPESA
"                31901122 - GRATIFICAÇÃO DE TEMPO DE SERVIÇO - RGPS";11.163,52;1.163,52;1.163,52;CDSUBELEMENTODESPESA
"                31901121 - GRATIFICAÇÃO DE TEMPO DE SERVIÇO - RPPS";49.537.358,20;23.793.195,53;23.793.195,53;CDSUBELEMENTODESPESA
"                31901115 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RPPS";1.154.862,31;462.103,68;462.103,68;CDSUBELEMENTODESPESA
"                31901116 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RGPS";7.862.528,47;3.489.943,15;3.489.943,15;CDSUBELEMENTODESPESA
"                31901117 - GRATIFICAÇÃO POR EXERCÍCIO DE FUNÇÕES - RPPS";1.073.428,38;447.068,41;447.068,41;CDSUBELEMENTODESPESA
"                31901118 - GRATIFICAÇÃO POR EXERCÍCIO DE FUNÇÕES - RGPS";24.377,90;14.979,57;14.979,57;CDSUBELEMENTODESPESA
"                31901123 - GRATIFICAÇÕES POR ATIVIDADES EXPOSITIVA - RPPS";8.319.966,62;4.055.517,71;4.055.517,71;CDSUBELEMENTODESPESA
"                31901124 - GRATIFICAÇÕES POR ATIVIDADES EXPOSITIVA - RGPS";5.587,67;587,67;587,67;CDSUBELEMENTODESPESA
"                31901150 - Incorporação RPPS";1.787.439,37;833.011,67;833.011,67;CDSUBELEMENTODESPESA
"                31901101 - VENCIMENTOS E SALÁRIOS - RPPS";311.421.703,73;199.899.903,12;199.899.903,12;CDSUBELEMENTODESPESA
"                31901102 - VENCIMENTOS E SALÁRIOS - RGPS";8.425.469,10;4.138.293,46;4.138.293,46;CDSUBELEMENTODESPESA
"            - 13 - Obrigações Patronais";1.580.591,62;1.356.834,91;1.308.134,24;CDELEMENTODESPESA
"                31901303 - Contribuição para o FGTS";80.591,62;36.973,73;30.591,62;CDSUBELEMENTODESPESA
"                31901301 - Contribuições Para o Regime Geral de Previdência - INSS";1.500.000,00;1.319.861,18;1.277.542,62;CDSUBELEMENTODESPESA
"            - 16 - Outras Despesas Variáveis - Pessoal Civil";1.578.999,20;972.632,01;972.632,01;CDELEMENTODESPESA
"                31901611 - Adicional Noturno - RPPS";497.117,50;304.419,52;304.419,52;CDSUBELEMENTODESPESA
"                31901604 - Horas Extras - RGPS";50.000,00;0,00;0,00;CDSUBELEMENTODESPESA
"                31901603 - Horas Extras - RPPS";743.470,34;522.760,14;522.760,14;CDSUBELEMENTODESPESA
"                31901607 - JETON - RPPS";79.853,34;35.477,86;35.477,86;CDSUBELEMENTODESPESA
"                31901616 - Produtividade - RGPS";49.195,48;22.656,96;22.656,96;CDSUBELEMENTODESPESA
"                31901605 - Substituição - RPPS";145.627,95;83.582,94;83.582,94;CDSUBELEMENTODESPESA
"                31901606 - Substituição - RGPS";13.734,59;3.734,59;3.734,59;CDSUBELEMENTODESPESA
"            - 4 - Contratação por Tempo Determinado";45.593.133,69;38.069.114,45;37.794.562,80;CDELEMENTODESPESA
"                31900409 - 13 º salário - Contratação REDA";8.329,76;8.329,76;8.329,76;CDSUBELEMENTODESPESA
"                31900404 - Adicional de insalubridade - Contratação REDA";4.217.147,55;2.339.242,71;2.339.242,71;CDSUBELEMENTODESPESA
"                31900402 - Adicional Noturno - Contratação REDA";498.147,38;486.684,91;486.684,91;CDSUBELEMENTODESPESA
"                31900413 - Contribuições previdenciárias - INSS - Contratação REDA";13.000.000,00;8.267.558,12;7.993.006,47;CDSUBELEMENTODESPESA
"                31900429 - Contribuições previdenciárias - INSS - Outras contratações Temporárias";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"                31900410 - Férias abono constitucional - Contratação REDA";3.672.902,17;3.672.902,17;3.672.902,17;CDSUBELEMENTODESPESA
"                31900401 - Salário - Contratação REDA";23.586.186,01;23.007.231,51;23.007.231,51;CDSUBELEMENTODESPESA
"                31900406 - Serviços extraordinários - Contratação REDA";610.420,82;287.165,27;287.165,27;CDSUBELEMENTODESPESA
"            - 94 - Indenizações e Restituições Trabalhistas";27.227,83;27.227,83;27.227,83;CDELEMENTODESPESA
"                31909401 - Devoluções de Proventos";4.720,30;4.720,30;4.720,30;CDSUBELEMENTODESPESA
"                31909403 - Indenização por Licença Prêmio não gozada";22.507,53;22.507,53;22.507,53;CDSUBELEMENTODESPESA
"            - 95 - Indenização pela Execução de Trabalho de Campo";3.137.361,31;3.028.077,31;3.028.077,31;CDELEMENTODESPESA
"                31909504 - Operaçao Carnaval - RGPS";809.410,67;809.410,67;809.410,67;CDSUBELEMENTODESPESA
"                31909503 - Operação Carnaval - RPPS";2.026.903,74;2.026.903,74;2.026.903,74;CDSUBELEMENTODESPESA
"                31909502 - Operaçao Chuva - RGPS";17.012,30;17.012,30;17.012,30;CDSUBELEMENTODESPESA
"                31909501 - Operação Chuva - RPPS";2.051,90;2.051,90;2.051,90;CDSUBELEMENTODESPESA
"                31909505 - Operaçoes Especiais - RPPS";250.310,80;141.026,80;141.026,80;CDSUBELEMENTODESPESA
"                31909506 - Operaçoes Especiais - RGPS";31.671,90;31.671,90;31.671,90;CDSUBELEMENTODESPESA
"          - 91 - Aplicação Direta Decorrente de Operação Intra-Orçamentária";120.208.953,11;61.331.252,81;61.331.252,81;CDMODALIDADEAPLICACAO
"            - 13 - Obrigações Patronais";120.208.953,11;61.331.252,81;61.331.252,81;CDELEMENTODESPESA
"                31911307 - Contribuição Patronal Extraordinária para Cobertura de Déficit Atuarial";4.359.468,10;1.889.949,13;1.889.949,13;CDSUBELEMENTODESPESA
"                31911302 - Contribuições para o RPPS FUNFIN";114.849.485,01;59.277.678,54;59.277.678,54;CDSUBELEMENTODESPESA
"                31911309 - Contribuições para o RPPS FUNPREV";1.000.000,00;163.625,14;163.625,14;CDSUBELEMENTODESPESA
"        - 33 - Outras Despesas Correntes";747.080.531,07;640.425.015,87;626.309.063,01;CDGRUPODESPESA
"          - 50 - Transferências a Instituições Privadas Sem Fins Lucrativos";246.542.948,62;219.804.176,46;217.074.449,52;CDMODALIDADEAPLICACAO
"            - 43 - Subvenções Sociais";35.548.408,13;32.378.942,37;32.378.942,37;CDELEMENTODESPESA
"                33504303 - Ações de Educação";8.462,91;8.462,91;8.462,91;CDSUBELEMENTODESPESA
"                33504302 - Ações de Saúde Pública";35.539.945,22;32.370.479,46;32.370.479,46;CDSUBELEMENTODESPESA
"            - 85 - Transferências por meio de Contrato de Gestão";204.845.228,78;181.608.611,30;178.951.155,32;CDELEMENTODESPESA
"                33508501 - Contrato de Gestão - Serviço Saude";204.845.228,78;181.608.611,30;178.951.155,32;CDSUBELEMENTODESPESA
"            - 92 - Despesas de Exercícios Anteriores";6.149.311,71;5.816.622,79;5.744.351,83;CDELEMENTODESPESA
"                33509201 - Contrato de Gestão - Serviço Saude";6.149.311,71;5.816.622,79;5.744.351,83;CDSUBELEMENTODESPESA
"          - 90 - Aplicações Diretas";500.537.582,45;420.620.839,41;409.234.613,49;CDMODALIDADEAPLICACAO
"            - 19 - Auxílio Fardamento";891.438,33;0,00;0,00;CDELEMENTODESPESA
"                33901901 - Auxílio Fardamento RPPS";891.438,33;0,00;0,00;CDSUBELEMENTODESPESA
"            - 30 - Material de Consumo";74.636.674,02;44.493.142,88;41.950.331,69;CDELEMENTODESPESA
"                33903002 - Combustíveis";3.275.352,01;2.346.482,82;2.346.482,82;CDSUBELEMENTODESPESA
"                33903038 - Gás";246.879,77;71.099,05;71.099,05;CDSUBELEMENTODESPESA
"                33903011 - Gêneros Alimentícios - Merenda Escolar";60.000,00;352.950,00;352.950,00;CDSUBELEMENTODESPESA
"                33903012 - Gêneros Alimentícios - Outros";2.882.553,15;2.378.452,48;2.378.452,48;CDSUBELEMENTODESPESA
"                33903018 - Materiais Agrícolas e Horto";115.380,55;144.694,15;143.793,60;CDSUBELEMENTODESPESA
"                33903033 - Materiais Gráficos";107.557,60;93.867,00;44.367,00;CDSUBELEMENTODESPESA
"                33903010 - Material Ambulatorial e Hospitalar";27.821.157,32;14.597.828,87;13.857.562,94;CDSUBELEMENTODESPESA
"                33903027 - Material de Cama, Mesa e Banho";1.327,20;1.327,20;1.327,20;CDSUBELEMENTODESPESA
"                33903003 - Material de Escritório / Material de Expediente";845.540,52;607.024,30;605.622,50;CDSUBELEMENTODESPESA
"                33903017 - Material de Limpeza e Higiene";3.845.687,03;3.246.473,90;2.919.644,16;CDSUBELEMENTODESPESA
"                33903030 - Material de Proteção e Segurança";358.127,25;10.098,00;10.098,00;CDSUBELEMENTODESPESA
"                33903021 - Material Educativo e Esportivo";245.524,00;2.524,00;2.524,00;CDSUBELEMENTODESPESA
"                33903016 - Material Elétrico e Eletrônico";69.896,32;69.856,32;69.856,32;CDSUBELEMENTODESPESA
"                33903013 - Material Odontológico";2.547.262,33;1.192.097,42;1.155.424,28;CDSUBELEMENTODESPESA
"                33903014 - Material para Construção e Reforma";10.165,00;10.165,00;10.165,00;CDSUBELEMENTODESPESA
"                33903019 - Material para Copa e Cozinha";134.028,75;64.372,35;64.372,35;CDSUBELEMENTODESPESA
"                33903009 - Material para Manutenção de Máquinas e Embarcações";1.787.538,23;1.315.217,69;1.283.234,62;CDSUBELEMENTODESPESA
"                33903006 - Material para Manutenção de Veículos";3.151.444,71;2.594.199,86;2.583.804,70;CDSUBELEMENTODESPESA
"                33903040 - Matéria-prima";282.481,92;282.481,92;282.481,92;CDSUBELEMENTODESPESA
"                33903004 - Medicamentos";26.406.502,30;14.828.724,33;13.483.862,53;CDSUBELEMENTODESPESA
"                33903001 - Suprimentos de Informática";52.800,00;52.800,00;52.800,00;CDSUBELEMENTODESPESA
"                33903026 - Vestuário e Calçados";389.468,06;230.406,22;230.406,22;CDSUBELEMENTODESPESA
"            - 32 - Material, Bem ou Serviço para Distribuição Gratuita";462,00;462,00;462,00;CDELEMENTODESPESA
"                33903211 - Material e Equipamento Gratuito para Saúde";462,00;462,00;462,00;CDSUBELEMENTODESPESA
"            - 33 - Passagens e Despesas com Locomoção";8.201,11;8.201,11;8.201,11;CDELEMENTODESPESA
"                33903301 - Passagens Nacionais";8.201,11;8.201,11;8.201,11;CDSUBELEMENTODESPESA
"            - 34 - Outras Despesas Pessoal Decorrentes Contratos Terceirização";27.024.189,74;22.613.861,41;21.490.527,14;CDELEMENTODESPESA
"                33903401 - Outros Serv Terceirização - PJ- Categorias Funcionais";27.024.189,74;22.613.861,41;21.490.527,14;CDSUBELEMENTODESPESA
"            - 35 - Serviços de Consultoria";14.840,00;14.840,00;14.840,00;CDELEMENTODESPESA
"                33903507 - Outras consultorias PJ";14.840,00;14.840,00;14.840,00;CDSUBELEMENTODESPESA
"            - 36 - Outros Serviços de Terceiros - Pessoa Física";2.672.110,80;1.910.129,99;1.880.129,99;CDELEMENTODESPESA
"                33903603 - Estagiários e Monitores";436.541,99;240.277,33;240.277,33;CDSUBELEMENTODESPESA
"                33903601 - Locação de Imóvel";2.235.568,81;1.669.852,66;1.639.852,66;CDSUBELEMENTODESPESA
"            - 37 - Locação de Mão de obra";44.767.376,45;36.412.795,62;34.851.590,99;CDELEMENTODESPESA
"                33903750 - Apoio Serviço de Saúde";198.275,18;147.068,65;121.000,57;CDSUBELEMENTODESPESA
"                33903752 - Apoio Serviço de Saúde - Verbas Eventuais Férias";0,00;5.370,62;5.370,62;CDSUBELEMENTODESPESA
"                33903704 - Serviço Administrativo";24.063.549,46;18.058.868,69;18.058.868,69;CDSUBELEMENTODESPESA
"                33903730 - Serviço Administrativo - Verbas Eventuais Férias";710.934,39;710.934,39;677.836,23;CDSUBELEMENTODESPESA
"                33903731 - Serviço Administrativo - Verbas Eventuais 13 Salário";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903713 - Serviço Administrativo - Verbas Eventuais";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903732 - Serviço Administrativo - Verbas Eventuais Rescisão";94.945,75;94.945,75;92.161,63;CDSUBELEMENTODESPESA
"                33903733 - Serviço de Informática - Verbas Eventuais Férias";95.265,07;95.265,07;19.815,13;CDSUBELEMENTODESPESA
"                33903744 - Serviço de Motoboy e Motorista - Verbas Eventuais Rescisão";12.094,39;7.130,22;7.130,22;CDSUBELEMENTODESPESA
"                33903708 - Serviço de Motoboy e Motorista";10.956.951,93;10.850.573,86;10.288.174,82;CDSUBELEMENTODESPESA
"                33903742 - Serviço de Motoboy e Motorista - Verbas Eventuais Férias";311.622,30;311.622,30;199.681,34;CDSUBELEMENTODESPESA
"                33903727 - Serviço de Vigilância - Verba Eventuais Férias";69.580,60;69.580,60;69.580,60;CDSUBELEMENTODESPESA
"                33903703 - Serviço de Vigilância";1.841.204,51;1.431.992,94;1.431.992,94;CDSUBELEMENTODESPESA
"                33903728 - Serviço de Vigilância - Verba Eventuais 13 Salário";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903729 - Serviço de Vigilância - Verba Eventuais Rescisão";20.133,26;20.133,26;15.974,73;CDSUBELEMENTODESPESA
"                33903721 - Serviços de Limpeza - Verbas Eventuais Férias";212.048,90;193.757,86;145.734,83;CDSUBELEMENTODESPESA
"                33903701 - Serviços de Limpeza";6.113.824,58;4.359.215,37;3.674.396,41;CDSUBELEMENTODESPESA
"                33903723 - Serviços de Limpeza - Verbas Eventuais Rescisão";22.987,77;22.987,77;22.987,77;CDSUBELEMENTODESPESA
"                33903722 - Serviços de Limpeza - Verbas Eventuais 13 Salário";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903715 - Serviços Técnicos e Operacionais em Construção Civil";43.958,36;33.348,27;20.884,46;CDSUBELEMENTODESPESA
"            - 39 - Outros Serviços de Terceiros - Pessoa Jurídica";231.909.850,84;222.022.911,84;219.038.501,61;CDELEMENTODESPESA
"                33903946 - Apoio Administrativo, Técnico e Operacional";3.684.134,05;3.013.050,51;3.013.050,51;CDSUBELEMENTODESPESA
"                33903938 - Assinaura de Periódicos e Anuidades";23.142,30;23.142,30;23.142,30;CDSUBELEMENTODESPESA
"                33903918 - Condomínio de Imóveis";44.660,40;30.305,76;30.305,76;CDSUBELEMENTODESPESA
"                33903966 - Contratualização SUS";177.146.581,76;180.382.423,48;178.291.797,00;CDSUBELEMENTODESPESA
"                33903909 - Energia Elétrica";8.473.583,15;6.111.495,82;6.099.840,24;CDSUBELEMENTODESPESA
"                33903950 - Fornecimento de Refeições e Vale Refeição";2.902.362,21;1.846.534,36;1.587.461,21;CDSUBELEMENTODESPESA
"                33903967 - Incentivos Educacionais para Servidores da PMS";-55.250,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903915 - Locação de Bens Móveis";72.750,24;0,00;0,00;CDSUBELEMENTODESPESA
"                33903933 - Locação de Espaço e Equipamentos para Eventos";85.155,15;85.155,15;85.155,15;CDSUBELEMENTODESPESA
"                33903903 - Locação de Imóvel";1.090.160,87;986.851,18;986.851,18;CDSUBELEMENTODESPESA
"                33903914 - Locação de Máquinas e Equipamentos";1.531.573,70;1.194.479,97;1.075.141,22;CDSUBELEMENTODESPESA
"                33903936 - Locação de Toldos e Barracas";3.770.041,23;3.346.041,24;3.346.041,24;CDSUBELEMENTODESPESA
"                33903902 - Locação de Veículos";3.587.363,53;2.142.678,71;2.114.206,24;CDSUBELEMENTODESPESA
"                33903951 - Logística e Armazenamento";9.187.953,92;9.262.892,46;9.262.892,46;CDSUBELEMENTODESPESA
"                33903954 - Manutenção de Aparelhos Médicos e Odontológicos";2.276.935,63;1.539.706,51;1.485.703,38;CDSUBELEMENTODESPESA
"                33903924 - Manutenção e Conservação de bens imóveis";6.238.780,87;4.424.146,98;4.369.647,18;CDSUBELEMENTODESPESA
"                33903927 - Manutenção e Conservação de Máquinas e Equipamentos";2.926.931,78;2.093.887,57;2.026.856,70;CDSUBELEMENTODESPESA
"                33903929 - Manutenção e Conservação de Outros Bens Móveis";339.176,75;283.914,79;276.322,98;CDSUBELEMENTODESPESA
"                33903925 - Manutenção e conservação de veiculos";2.281.822,47;1.757.562,95;1.747.452,94;CDSUBELEMENTODESPESA
"                33903965 - Outros Serviços de Terceiros - PJ Câmara Municipal";1.254.473,62;278.866,74;278.866,74;CDSUBELEMENTODESPESA
"                33903919 - Preço Público e taxas Obrigatórias";152,00;152,00;152,00;CDSUBELEMENTODESPESA
"                33903997 - Publicidade de Utilidade Publica";723.571,20;372.838,07;372.838,07;CDSUBELEMENTODESPESA
"                33903998 - Publicidade Legal";39.232,82;21.495,60;21.495,60;CDSUBELEMENTODESPESA
"                33903937 - Seguros";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903940 - Serviço de Seleçao e Treinamento";-910,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903934 - Serviço de Som, Vídeo e Escuta de Rádio";405.688,00;237.680,00;211.012,00;CDSUBELEMENTODESPESA
"                33903947 - Serviços Bancários";4.586,80;4.586,80;4.586,80;CDSUBELEMENTODESPESA
"                33903912 - Serviços de Postagem, Entregas e Cobranças";2.700,00;2.353,35;2.353,35;CDSUBELEMENTODESPESA
"                33903942 - Serviços de Transporte";881.005,60;746.542,08;746.542,08;CDSUBELEMENTODESPESA
"                33903953 - Serviços Educacionais e Pedagógicos";105.800,00;105.800,00;105.800,00;CDSUBELEMENTODESPESA
"                33903907 - Serviços Gráficos";290.454,72;258.601,10;26.923,30;CDSUBELEMENTODESPESA
"                33903941 - Serviços Médicos, Odontológicos e de Enfermagem";1.126.431,78;316.323,39;315.701,53;CDSUBELEMENTODESPESA
"                33903932 - Serviços para Cerimonial";128.792,51;128.792,51;128.792,51;CDSUBELEMENTODESPESA
"                33903975 - Serviços Técnicos Profissionais";67.507,91;39.165,75;39.165,75;CDSUBELEMENTODESPESA
"                33903908 - Serviços Telefonia Fixa, Móvel Sem Pacote de Dados";86.074,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903931 - Seviços de Limpeza";976.105,87;873.745,14;850.704,62;CDSUBELEMENTODESPESA
"                33903904 - Transporte de Resíduos Sólidos (Hospitalar)";210.324,00;111.699,57;111.699,57;CDSUBELEMENTODESPESA
"            - 40 - Serviços de Tecnologia da Informação e Comunicação - PJ";21.847.514,61;20.786.686,04;18.271.751,75;CDELEMENTODESPESA
"                33904010 - Comunicação de Dados";2.662.035,00;1.805.084,00;1.466.695,99;CDSUBELEMENTODESPESA
"                33904007 - Digitalização/Indexação de Documentos";0,00;2.725,28;2.725,28;CDSUBELEMENTODESPESA
"                33904006 - Emissão de Certificado Digital";240,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33904001 - Locação de Equip Informática";3.759.775,91;2.872.471,34;2.872.471,34;CDSUBELEMENTODESPESA
"                33904003 - Locação de Software";546.551,18;450.988,62;450.988,62;CDSUBELEMENTODESPESA
"                33904004 - Manutenção corretiva/adaptiva e sustentação de Software";5.912.136,00;7.399.562,39;5.899.678,99;CDSUBELEMENTODESPESA
"                33904005 - Manutenção e Conservação de Equipamentos de TIC";4.463.653,60;3.844.800,00;3.844.800,00;CDSUBELEMENTODESPESA
"                33904009 - Outsourcing de Impressão";3.007.452,22;2.334.695,00;1.943.892,00;CDSUBELEMENTODESPESA
"                33904011 - Serviço de Seleção e Treinamento em TIC";762.487,50;635.406,25;635.406,25;CDSUBELEMENTODESPESA
"                33904002 - Serviços Telefonia Fixa, Móvel Com Pacote de Dados";733.183,20;1.440.953,16;1.155.093,28;CDSUBELEMENTODESPESA
"            - 46 - Auxílio - Alimentação";29.772.835,18;15.452.342,53;15.452.342,53;CDELEMENTODESPESA
"                33904602 - Auxílio - Alimentação - RGPS";1.410.498,27;795.569,31;795.569,31;CDSUBELEMENTODESPESA
"                33904601 - Auxílio - Alimentação - RPPS";28.362.336,91;14.656.773,22;14.656.773,22;CDSUBELEMENTODESPESA
"            - 47 - Obrigações Tributárias e Contributivas";411,62;411,62;411,62;CDELEMENTODESPESA
"                33904705 - INSS";411,62;411,62;411,62;CDSUBELEMENTODESPESA
"            - 48 - Outros Auxílios Financeiros a Pessoas Físicas";1.891.093,60;1.548.305,60;1.399.858,40;CDELEMENTODESPESA
"                33904811 - Auxílio Alimentação Programa Mais Médicos";173.395,20;124.792,00;106.401,60;CDSUBELEMENTODESPESA
"                33904810 - Auxílio Moradia Programa Mais Médicos";132.598,40;90.313,60;74.656,80;CDSUBELEMENTODESPESA
"                33904812 - Auxilio para o Programa Médicos pelo Brasil";1.585.100,00;1.333.200,00;1.218.800,00;CDSUBELEMENTODESPESA
"            - 49 - Auxílio - Transporte";8.275.739,71;3.941.723,29;3.941.723,29;CDELEMENTODESPESA
"                33904901 - Auxílio - Transporte RPPS";7.841.276,11;3.621.823,69;3.621.823,69;CDSUBELEMENTODESPESA
"                33904902 - Auxílio - Transporte RGPS";434.463,60;319.899,60;319.899,60;CDSUBELEMENTODESPESA
"            - 8 - Outros Benefícios Assistenciais do servidor ou do Militar";8.553.710,94;3.888.729,92;3.888.729,92;CDELEMENTODESPESA
"                33900801 - Auxílio Educação - RPPS";8.501.973,22;3.868.082,46;3.868.082,46;CDSUBELEMENTODESPESA
"                33900802 - Auxílio Educação - RGPS";5.000,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33900812 - SALÁRIO FAMÍLIA - RPPS";46.737,72;20.647,46;20.647,46;CDSUBELEMENTODESPESA
"            - 92 - Despesas de Exercícios Anteriores";47.042.945,68;46.298.640,53;45.819.416,66;CDELEMENTODESPESA
"                33909229 - Anuidade / Condomínio";191,00;191,00;191,00;CDSUBELEMENTODESPESA
"                33909245 - Consultoria Juridica e Tecnica";4.200,00;4.200,00;4.200,00;CDSUBELEMENTODESPESA
"                33909222 - Contas de Consumo";2.560,06;2.560,06;2.560,06;CDSUBELEMENTODESPESA
"                33909242 - Cursos, Congressos, Treinamentos, Capacitação e Campeonatos";910,00;910,00;910,00;CDSUBELEMENTODESPESA
"                33909241 - Digitalização/Indexação de Documentos";3.497,36;1.985,64;1.985,64;CDSUBELEMENTODESPESA
"                33909236 - Loc Móveis, Utens, Equip Informática e Central Telefônica";1.543.826,34;1.543.826,34;1.543.826,34;CDSUBELEMENTODESPESA
"                33909214 - Locação de Ar Condicionado";85.884,66;85.884,66;85.884,66;CDSUBELEMENTODESPESA
"                33909240 - Locação de Equipamentos Médicos e Odontológicos";41.666,66;41.666,66;41.666,66;CDSUBELEMENTODESPESA
"                33909233 - Locação de Imóvel";8.028,27;8.028,27;8.028,27;CDSUBELEMENTODESPESA
"                33909269 - Locação de Mão de Obra Serviço Administrativo";5.844.957,97;5.832.782,86;5.832.782,86;CDSUBELEMENTODESPESA
"                33909266 - Locação de Mão de Obra Serviço de Limpeza";186.548,56;186.548,45;186.548,45;CDSUBELEMENTODESPESA
"                33909273 - Locação de Mão de Obra Serviço de Motoboy e Motorista";1.743.380,50;1.629.655,57;1.629.655,57;CDSUBELEMENTODESPESA
"                33909268 - Locação de Mão de Obra Serviço de Vigilância";336.387,91;336.387,91;336.387,91;CDSUBELEMENTODESPESA
"                33909207 - Locação de Mão-de-Obra";277.139,84;277.139,84;277.139,84;CDSUBELEMENTODESPESA
"                33909217 - Locação de Máquinas e Equipamentos";298.633,29;298.633,29;298.633,29;CDSUBELEMENTODESPESA
"                33909234 - Locação de Software";29.126,41;29.126,41;29.126,41;CDSUBELEMENTODESPESA
"                33909237 - Locação de Toldos e Barracas";221.500,00;221.500,00;221.500,00;CDSUBELEMENTODESPESA
"                33909232 - Locação de Veículos";801.162,56;801.162,56;523.634,95;CDSUBELEMENTODESPESA
"                33909246 - Manutenção corretiva/adaptativa e sustentação de Software";1.124.372,63;1.124.372,63;1.124.372,63;CDSUBELEMENTODESPESA
"                33909247 - Manutenção e Conservação de bens imóveis";621.282,47;621.282,47;621.282,47;CDSUBELEMENTODESPESA
"                33909208 - Manutenção e Conservação de Máquinas e Equipamentos";869.191,98;857.893,18;857.893,18;CDSUBELEMENTODESPESA
"                33909204 - Manutenção e conservação de veiculos";228.586,67;228.586,67;228.586,67;CDSUBELEMENTODESPESA
"                33909203 - Material de Consumo";4.323.195,68;4.100.257,58;4.100.257,58;CDSUBELEMENTODESPESA
"                33909227 - Passagem";4.358,65;4.358,65;4.358,65;CDSUBELEMENTODESPESA
"                33909263 - Publicidade de Utilidade Pública";313.418,67;313.418,67;313.418,67;CDSUBELEMENTODESPESA
"                33909209 - Seguros";27.500,00;27.500,00;0,00;CDSUBELEMENTODESPESA
"                33909226 - Serviço de Atendimento Hospitalar - SIH";14.788.917,03;14.461.067,83;14.291.670,71;CDSUBELEMENTODESPESA
"                33909213 - Serviço de Telefonia Fixo e Móvel Sem Pacote de Dados";3.312.221,23;3.312.221,23;3.312.221,23;CDSUBELEMENTODESPESA
"                33909219 - Serviços de Alimentação";433.865,55;433.865,55;433.865,55;CDSUBELEMENTODESPESA
"                33909275 - Serviços de Arquitetura e Engenharia";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33909215 - Serviços de Limpeza";606.101,44;606.101,44;606.101,44;CDSUBELEMENTODESPESA
"                33909254 - Serviços de Telefonia Fixa, Móvel Com Pacote de Dados";868.729,41;868.729,41;868.729,41;CDSUBELEMENTODESPESA
"                33909202 - Serviços de Terceiros";0,00;0,00;26.639,79;CDSUBELEMENTODESPESA
"                33909218 - Serviços de Transporte";161.076,14;161.076,14;161.076,14;CDSUBELEMENTODESPESA
"                33909251 - Serviços Gráficos";175.657,50;175.657,50;175.657,50;CDSUBELEMENTODESPESA
"                33909216 - Serviços Médicos, Odontológicos e de Enfermagem";7.655.756,24;7.600.949,06;7.569.510,13;CDSUBELEMENTODESPESA
"                33909248 - Transporte de Resíduos Sólidos (Hospitalar)";68.416,88;68.416,88;68.416,88;CDSUBELEMENTODESPESA
"                33909201 - Tributos e Contribuições de Exercícios Anteriores - PASEP";30.696,12;30.696,12;30.696,12;CDSUBELEMENTODESPESA
"            - 93 - Indenizações e Restituições";1.228.187,82;1.227.655,03;1.225.794,79;CDELEMENTODESPESA
"                33909310 - Outras Indenizações Serviços Terceiros";41.487,86;41.487,86;41.487,86;CDSUBELEMENTODESPESA
"                33909306 - Restituição de Valor";1.186.699,96;1.186.167,17;1.184.306,93;CDSUBELEMENTODESPESA
"      - 4 - Despesas de Capital";24.785.547,11;18.234.350,37;17.898.417,87;CDCATEGORIAECONOMICA
